iter	Passed	Remaining
906	3917	401
907	3918	397
908	3920	392
909	3921	387
910	3922	383
911	3924	378
912	3925	374
913	3928	369
914	3929	365
915	3931	360
916	3932	355
917	3935	351
918	3940	347
919	3942	342
920	3943	338
921	3944	333
922	3945	329
923	3946	324
924	3948	320
925	3949	315
926	3955	311
927	3957	307
928	3958	302
929	3959	298
930	3961	293
931	3962	289
932	3964	284
933	3970	280
934	3974	276
935	3980	272
936	3982	267
937	3986	263
938	3987	259
939	3989	254
940	3991	250
941	3992	245
942	3993	241
943	3995	237
944	4000	232
945	4002	228
946	4003	224
947	4005	219
948	4006	215
949	4007	210
950	4008	206
951	4010	202
952	4011	197
953	4016	193
954	4017	189
955	4018	184
956	4019	180
957	4021	176
958	4023	172
959	4032	168
960	4037	163
961	4038	159
962	4040	155
963	4041	150
964	4049	146
965	4051	142
966	4053	138
967	4057	134
968	4058	129
969	4064	125
970	4066	121
971	4067	117
972	4068	112
973	4069	108
974	4071	104
975	4072	100
976	4073	95
977	4080	91
978	4081	87
979	4082	83
980	4084	79
981	4085	74
982	4086	70
983	4087	66
984	4089	62
985	4095	58
986	4096	53
987	4107	49
988	4112	45
989	4114	41
990	4115	37
991	4117	33
992	4118	29
993	4120	24
994	4126	20
995	4128	16
996	4130	12
997	4132	8
998	4133	4
999	4143	0
